Date,Meal,Calories,Protein,Carbs,Fat
2026-01-11,morning,89.0,1.1,23.0,0.3
2026-01-11,lunch,1318.5,58.8,125.4,65.9
2026-01-12,morning,89.0,1.1,23.0,0.3
2026-01-12,lunch,1478.6,69.2,132.2,75.7
2026-01-12,morning,370.0,29.0,50.0,8.2
2026-01-12,dinner,650.0,25.0,86.0,26.0
2026-01-12,dinner,90.0,2.5,16.5,1.5
2026-01-21,morning,719.0,53.9,56.6,30.3
2026-01-21,lunch,1301.0,62.4,98.0,72.8
2026-01-29,morning,459.0,30.1,73.0,8.5
2026-01-29,lunch,1562.0,72.0,113.0,90.8
2026-01-29,dinner,650.0,25.0,86.0,26.0
2026-01-29,morning,180.0,9.0,30.0,3.0
2026-02-02,morning,390.0,27.5,2.0,26.5
2026-02-03,morning,912.0,51.4,115.6,29.5
2026-02-03,lunch,435.0,16.0,25.0,30.0
2026-02-17,morning,659.0,37.6,55.0,29.8
2026-02-17,lunch,735.0,31.0,33.4,53.0
2026-02-17,dinner,740.0,27.5,102.5,27.5
2026-02-17,lunch,354.0,26.0,52.0,7.2
2026-02-17,morning,370.0,29.0,50.0,8.2
2026-02-17,lunch,217.5,8.0,12.5,15.0
2026-03-02,morning,978.5,44.2,169.0,19.6
2026-03-02,lunch,1098.0,52.5,81.6,64.2
